source,boundary_width_px,region,dice,iou,boundary_f1,hd95,area_error
CF-Seg,16,background,0.7659684999708607,0.6533171183542226,0.22665444579767238,99.23512031676914,0.16362462356835197
CF-Seg,16,whole,0.8308603014915151,0.727196948532705,0.20744421564519352,93.13252627413802,0.18603319844945754
CF-Seg,16,random_like_background,0.8041646456559681,0.6880898327926614,0.16202360504954846,116.94267546502209,0.1933227295767946
CF-Seg,16,boundary,0.6827471040757059,0.5443436477420646,0.14191060783454204,119.00788511067111,0.26546467125594325
CF-Seg,16,random_like_boundary,0.6888892211087969,0.5473780583241994,0.1264338125277616,126.5419432242111,0.28971851646716457
CF-Seg,32,background,0.7659684999708607,0.6533171183542226,0.22665444579767238,99.23512031676914,0.16362462356835197
CF-Seg,32,whole,0.8308603014915151,0.727196948532705,0.20744421564519352,93.13252627413802,0.18603319844945754
CF-Seg,32,random_like_background,0.8041646456559681,0.6880898327926614,0.16202360504954846,116.94267546502209,0.1933227295767946
CF-Seg,32,boundary,0.6913831429325981,0.5553443473578958,0.14763637147398354,111.63549707883949,0.20328962288079747
CF-Seg,32,random_like_boundary,0.7137342074175891,0.5754576098295696,0.1248232211173499,125.01148032268573,0.2859951194489585
CF-Seg,64,background,0.7659684999708607,0.6533171183542226,0.22665444579767238,99.23512031676914,0.16362462356835197
CF-Seg,64,whole,0.8308603014915151,0.727196948532705,0.20744421564519352,93.13252627413802,0.18603319844945754
CF-Seg,64,boundary,0.7542639988291044,0.6257508230451794,0.171091188583156,111.48522473559282,0.16428738506328075
CF-Seg,64,random_like_background,0.8041646456559681,0.6880898327926614,0.16202360504954846,116.94267546502209,0.1933227295767946
CF-Seg,64,random_like_boundary,0.7349778302567062,0.6009066051653772,0.13177454424370688,125.22712641543689,0.22798773834024616
CXR-SD,16,background,0.7250919283301733,0.59351803962607,0.17689955104818164,110.66438843474141,0.248986407652261
CXR-SD,16,whole,0.7785688327230085,0.6526300487023782,0.1465589172995256,109.62517700417058,0.31538036904904126
CXR-SD,16,random_like_background,0.7668271757983807,0.6368467150629824,0.1361790466524318,118.35550227233676,0.32961386385404545
CXR-SD,16,random_like_boundary,0.6934914815403691,0.5513672876539873,0.13120109465649749,128.20096893299134,0.32036434413972187
CXR-SD,16,boundary,0.6880585800833365,0.5428152069855869,0.13107065311097285,125.32077626619068,0.33819157299651265
CXR-SD,32,background,0.7250919283301733,0.59351803962607,0.17689955104818164,110.66438843474141,0.248986407652261
CXR-SD,32,whole,0.7785688327230085,0.6526300487023782,0.1465589172995256,109.62517700417058,0.31538036904904126
CXR-SD,32,random_like_background,0.7668271757983807,0.6368467150629824,0.1361790466524318,118.35550227233676,0.32961386385404545
CXR-SD,32,random_like_boundary,0.7050716864120032,0.5633965712784227,0.12909409091288424,125.86314115478089,0.3262672557707941
CXR-SD,32,boundary,0.6937112947530647,0.5488581664901192,0.1267684140804289,127.0803556432783,0.32820119607674997
CXR-SD,64,background,0.7250919283301733,0.59351803962607,0.17689955104818164,110.66438843474141,0.248986407652261
CXR-SD,64,whole,0.7785688327230085,0.6526300487023782,0.1465589172995256,109.62517700417058,0.31538036904904126
CXR-SD,64,random_like_background,0.7668271757983807,0.6368467150629824,0.1361790466524318,118.35550227233676,0.32961386385404545
CXR-SD,64,boundary,0.7305751904208061,0.5914078642679699,0.1301492151808274,128.0106236696231,0.3406966603122538
CXR-SD,64,random_like_boundary,0.7315973638780144,0.5950123396191005,0.1288531121737233,126.57394251593112,0.33118751570719984
