condition,source,n,dice,iou,boundary_f1,hd95,area_error
Original,segmentation,200,0.7257746415341987,0.5871690317311429,0.1561441490521218,123.4864809018699,0.3243841969150336
CF-Seg,segmentation,200,0.8503886651204776,0.7539769136674983,0.2172079047950831,80.038554142864,0.1781254722043184
Matched whole,matched_cf_to_original/whole,200,0.8503886651204775,0.7539769136674983,0.2172079047950831,80.038554142864,0.1781254722043184
Matched background/context,matched_cf_to_original/background,200,0.8240496066387861,0.7219347797843199,0.251294814211626,86.34842672044687,0.1903875856094492
Matched boundary,matched_cf_to_original/boundary,200,0.761063384953039,0.6352572043079521,0.1639047419343663,107.2965620710351,0.2397756771205803
Matched interior,matched_cf_to_original/interior,200,0.7872700658132362,0.6617869160639163,0.173905398082322,110.49385629838194,0.3295012421327989
Reverse whole,reverse_original_to_cf/whole,200,0.7257746415341987,0.5871690317311429,0.1561441490521218,123.4864809018699,0.3243841969150336
Non-matched whole,nonmatched_cf_to_original/whole,200,0.6622164287160676,0.5073973996720436,0.0571514506260072,128.29882128775023,0.1765839063502794
