control,region,dice,iou,boundary_f1,hd95,area_error
matched_cf_to_original,background,0.8240496066387861,0.7219347797843199,0.251294814211626,86.34842672044687,0.19038758560944927
nonmatched_cf_to_original,background,0.7007785810379518,0.5721367896192919,0.23840591368356503,100.43854510351079,0.06632666682161201
reverse_original_to_cf,background,0.8055923935850925,0.690178304032586,0.2220577842186892,100.56479820899528,0.2796785916407411
matched_cf_to_original,whole,0.8503886651204775,0.7539769136674983,0.21720790479508312,80.038554142864,0.17812547220431846
reverse_original_to_cf,interior,0.8149459263456782,0.7093180583143712,0.20414702040692564,86.00911756772558,0.16573198810726533
reverse_original_to_cf,boundary,0.8319145975781272,0.7233032224959786,0.17593752780195682,79.49918054888552,0.22418852631066613
matched_cf_to_original,interior,0.7872700658132362,0.6617869160639163,0.17390539808232203,110.49385629838194,0.32950124213279897
matched_cf_to_original,boundary,0.761063384953039,0.6352572043079521,0.16390474193436633,107.2965620710351,0.23977567712058032
reverse_original_to_cf,whole,0.7257746415341987,0.5871690317311429,0.15614414905212187,123.4864809018699,0.3243841969150336
nonmatched_cf_to_original,interior,0.7311570046546179,0.5882725825639133,0.14102026274564072,109.16887405899338,0.25925520361055016
nonmatched_cf_to_original,whole,0.6622164287160676,0.5073973996720436,0.05715145062600722,128.29882128775023,0.17658390635027948
nonmatched_cf_to_original,boundary,0.6311580708447739,0.4754325922193289,0.043160678020895966,122.91932382114506,0.2648048199318881
