source,region,dice,iou,boundary_f1,hd95,area_error
CF-Seg,interior,0.76958241689209,0.6419618236961168,0.16046143367015747,109.92755695631884,0.34706928929085884
CF-Seg,random_like_interior,0.7019416016912452,0.5618664563171631,0.12468080465603056,125.96213911950264,0.28004602868965106
CXR-SD,interior,0.7515584316696016,0.616632704465137,0.1449585922133173,123.16998679336677,0.40261398223911726
CXR-SD,random_like_interior,0.697119967500552,0.5554025156962594,0.1295604773587334,126.29282816961214,0.32334331640256947
