condition,control,region,dice,iou,boundary_f1,hd95,area_error
matched whole (CXR-SD into original),matched_cf_to_original,whole,0.7785688327230085,0.6526300487023782,0.1465589172995256,109.6251770041706,0.3153803690490413
reverse whole (original into CXR-SD),reverse_original_to_cf,whole,0.6772468420312256,0.5345676084767483,0.1393769910384176,131.00369874815203,0.3119994678093072
non-matched whole,nonmatched_cf_to_original,whole,0.6295146429484106,0.4702034653458192,0.0582229203051849,139.50547602141538,0.2486987405000996
matched background/context,matched_cf_to_original,background,0.7393075030436409,0.6091920934456128,0.1597202345796165,111.78994656333305,0.2830241260895199
matched boundary band,matched_cf_to_original,boundary,0.6911836182170281,0.549531697479796,0.1305846166611254,128.5185748551367,0.327695547485628
