condition,n,dice,iou,boundary_f1,hd95,area_error
cxr_sd,200,0.7998254412014696,0.6789764681973114,0.17213795303771523,103.93325089021182,0.2837298024795727
matched_background,200,0.7779102389331984,0.6540977668209642,0.1964312713619681,107.12880084508862,0.2670268755169058
matched_boundary,200,0.74214397854287,0.6048452461422856,0.15158737568029618,119.76522501867943,0.3406546956391181
matched_interior,200,0.7705685736044289,0.6381292546201061,0.16196631349584392,119.52126826481818,0.3792516379886433
matched_whole,200,0.7998254412014696,0.6789764681973114,0.17213795303771523,103.93325089021182,0.2837298024795727
nonmatched_whole,200,0.6111015534576297,0.45314487789556956,0.054980885402019994,136.75751825935382,0.18733378195680228
original,200,0.7257746415341987,0.5871690317311429,0.15614414905212187,123.4864809018699,0.3243841969150336
reverse_whole,200,0.7257746415341987,0.5871690317311429,0.15614414905212187,123.4864809018699,0.3243841969150336
